,smiles
acolipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)(O)OC2OCC(N)C(O)C2O)C(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(OC4(C(=O)[O-])CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(OC6OC(CO)C(O)C(O)C6OC6OC(COC7OC(C(O)CO)C(O)C(O)C7O)C(O)C(O)C6O)C5O)C4O)C3O)C(C(O)CO)O2)O[C@@H](OC[C@H]2OC(OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
acon_C,O=C(O)/C=C(/CC(=O)O)C(=O)O
acon_T,O=C(O)/C=C(\CC(=O)O)C(=O)O
aconm,COC(=O)/C(=C/C(=O)[O-])CC(=O)[O-]
acorn,CC(O)=N[C@@H](CCCN)C(=O)O
acser,CC(=O)OC[C@H](N)C(=O)O
actp,CC(=O)OP(=O)(O)O
ade,Nc1nc[nH]c2ncnc1-2
adn,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
adocbi,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(O)=NC[C@@H](C)O)[C@H]5CC(=N)O)[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)O)[C@@](C)(CC(=N)O)[C@@H]3CCC([NH-])=O)C(C)(C)[C@@H]2CCC(=N)O.[CH2-][C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[Co]
adocbip,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(O)=NC[C@@H](C)OP(=O)(O)O)[C@H]5CC(=N)O)[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)O)[C@@](C)(CC(=N)O)[C@@H]3CCC([NH-])=O)C(C)(C)[C@@H]2CCC(=N)O.[CH2-][C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[Co]
adocbl,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)(C5N=C1[C@](C)(CCC(O)=NCC(C)OP(=O)(O)OC1C(O)[C@@H]([n+]6c[nH]c7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(=N)O)[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)[O-])[C@@](C)(CC(=N)O)[C@@H]3CCC(=N)[O-])C(C)(C)[C@@H]2CCC(=N)[O-].[CH2-]C1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O.[Co+3]
adp,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
adpglc,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
adphep_DD,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC2O[C@H]([C@H](O)CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
adphep_LD,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC2O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
adprib,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(O)C(O)C2O)C(O)C1O
ag,[Ag]
agdpcbi,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)(C5N=C1[C@](C)(CCC(O)=NCC(C)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H]([n+]6c[nH]c7c(O)nc(=N)[nH]c76)[C@H](O)[C@@H]1O)[C@H]5CC(=N)O)[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)O)[C@@](C)(CC(=N)O)[C@@H]3CCC(=N)[O-])C(C)(C)[C@@H]2CCC(=N)[O-].[CH2-][C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[Co+3]
agm,N=C(N)NCCCCN
ahcys,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
ahdt,N=c1nc(O)c2c([nH]1)NCC([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=N2
aicar,N=C(O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
air,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
akg,O=C(O)CCC(=O)C(=O)O
ala_B,NCCC(=O)O
ala__D,C[C@@H](N)C(=O)O
ala__L,C[C@H](N)C(=O)O
alaala,C[C@@H](N)C(O)=N[C@H](C)C(=O)O
alac__S,CC(=O)[C@](C)(O)C(=O)O
all6p,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
all__D,OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O
alltn,N=C(O)NC1N=C(O)N=C1O
alltt,N=C(O)NC(NC(=N)O)C(=O)[O-]
allul6p,O=C(CO)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
altrn,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO
amet,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
ametam,C[S+](CCCN)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
amob,C[S+](CCC(=O)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
amp,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
ampnt,NCP(=O)([O-])O
anhgm3p,CC(O)=NC1=COC(CO)C(OC2OC(CO)C(O)C(O)C2N=C(C)O)C1OC(C)C(O)=NC(C)C(O)=NC(CCC(=O)O)C(O)=NC(CCCC(N)C(=O)O)C(=O)O
anhgm4p,CC(O)=N[C@H]1C2OCC(O2)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N=C(C)O)[C@@H]1OC(C)C(O)=NC(C)C(O)=NC(CCC(=O)O)C(O)=NC(CCCC(N)C(=O)O)C(O)=NC(C)C(=O)O
anhgm,CC(O)=NC1C2OCC(O2)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N=C(C)O)C1OC(C)C(=O)O
anhm3p,CC([O-])=N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(O)=N[C@@H](C)C(O)=N[C@H](CCC(=O)[O-])C(O)=N[C@@H](CCCC(N)C(=O)O)C(=O)O
anhm4p,CC(O)=N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(O)=N[C@@H](C)C(O)=N[C@H](CCC(=O)O)C(O)=N[C@@H](CCCC(N)C(=O)O)C(O)=NC(C)C(=O)O
anhm,CC([O-])=N[C@H]1[C@@H]2OC[C@@H](O2)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O
anth,Nc1ccccc1C(=O)O
ap4a,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
ap5a,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
apg120,CCCCCCCCCCCC(=O)OC[C@H](O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
apg140,CCCCCCCCCCCCCC(=O)OC[C@H](O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
apg141,CCCCCC/C=C/CCCCCC(=O)OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCC/C=C/CCCCCC)OC(=O)CCCCC/C=C/CCCCCC
apg160,CCCCCCCCCCCCCCCC(=O)OC[C@H](O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
apg161,CCCCCC/C=C/CCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCC/C=C/CCCCCC
apg180,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
apg181,CCCCCC/C=C/CCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCCCC/C=C/CCCCCC
appl,CC(O)CN
aps,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O
ara5p,O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
arab__D,O=C[C@@H](O)[C@H](O)[C@H](O)CO
arab__L,OC1OC[C@H](O)[C@H](O)[C@H]1O
aragund,CC(=O)OC1C(OC2C(O)C(CO)OC(OP(=O)(O)OP(=O)([O-])OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C2N=C(C)[O-])OC(C)C(O)C1O
arbt6p,O=P(O)(O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
arbt,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
arbtn,CC(=O)N(O)CCCC[C@H](N=C([O-])CC(O)(CC([O-])=N[C@@H](CCCCN(O)C(C)=O)C(=O)O)C(=O)O)C(=O)[O-]
arbtn_fe3,CC(=O)N(O)CCCC[C@H](N=C(O)CC(O)(CC(O)=N[C@@H](CCCCN(O)C(C)=O)C(=O)O)C(=O)O)C(=O)O
arg__L,N=C(N)NCCC[C@H](N)C(=O)O
argsuc,N=C(NCCC[C@H](N)C(=O)O)N[C@@H](CC(=O)O)C(=O)O
ascb6p,O=C1O[C@H]([C@@H](O)COP(=O)([O-])O)C([O-])=C1[O-]
ascb__L,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
asn__L,N=C(O)C[C@H](N)C(=O)O
aso3,O[As](O)O
aso4,O=[As](O)(O)O
asp__L,N[C@@H](CC(=O)O)C(=O)O
aspsa,N[C@@H](CC=O)C(=O)O
athr__L,C[C@H](O)[C@H](N)C(=O)O
athtp,Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2C)c(=N)[nH]1
atp,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
b2coa,C/C=C/C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
bbtcoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)CCC[N+](C)(C)C
betald,C[N+](C)(C)CC=O
bglycogen,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
bmocogdp,N=c1nc(O)c2c([nH]1)NC1OC(COP(=O)(O)OP(=O)(O)OCC3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)C(S)=C(S)C1N2.N=c1nc([O-])c2c([nH]1)NC1OC(COP(=O)([O-])OP(=O)([O-])OCC3O[C@@H](n4cnc5c([O-])nc(=N)[nH]c54)[C@H](O)[C@@H]3O)C(S)=C(S)C1N2.[Mo+4]
btal,CCCC=O
btcoa,CCCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
btn,O=C(O)CCCC[C@@H]1SC[C@@H]2N=C(O)N[C@H]12
btnso,O=C([O-])CCCC[C@H]1[C@H]2NC(O)=N[C@H]2CS1=O
but,CCCC(=O)O
butso3,CCCCS(=O)(=O)[O-]
ca2,[Ca]
camp,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O
cbasp,N=C(O)N[C@@H](CC(=O)O)C(=O)O
cbi,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(O)=NC[C@@H](C)O)[C@H]5CC(=N)O)[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)O)[C@@](C)(CC(=N)O)[C@@H]3CCC([NH-])=O)C(C)(C)[C@@H]2CCC(=N)O.[Co+3]
cbl1,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(O)=NC[C@@H](C)OP(=O)(O)O[C@@H]1[C@@H](CO)O[C@H]([n+]6c[nH]c7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(=N)O)[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)O)[C@@](C)(CC(=N)O)[C@@H]3CCC(=N)[O-])C(C)(C)[C@@H]2CCC(=N)[O-].[Co]
cbm,NC(=O)[O-]
cbp,N=C(O)OP(=O)(O)O
cd2,[Cd]
cdg,N=c1nc(O)c2c(C(=O)O)c[nH]c2[nH]1
cdp,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1
cdpdddecg,CCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCC
cdpdhdec9eg,CCCCCCC=CCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCC=CCCCCCC
cdpdhdecg,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC
cdpdodec11eg,CCCCCCC=CCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCC=CCCCCCC
cdpdodecg,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=N)nc2[O-])[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCCCC
cdpdtdec7eg,CCCCCCC=CCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O)OC(=O)CCCCCC=CCCCCCC
cdpdtdecg,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCC
cechddd,O=C([O-])CCC1=CC=C[C@@H](O)[C@H]1O
cellb,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
cenchddd,O=C(O)/C=C/C1=CC=C[C@H](O)[C@@H]1O
cgly,N[C@@H](CS)C(O)=NCC(=O)O
ch4,C
chol,C[N+](C)(C)CCO
cholate,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
chor,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
chtbs6p,CC([O-])=N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]2N=C(C)[O-])[C@@H]1O
chtbs,CC(O)=N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N=C(C)O)[C@@H]1O
cinnm,O=C(O)/C=C/c1ccccc1
cit,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
citr__L,N=C(O)NCCC[C@H](N)C(=O)O
ckdo,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)O[C@@]3(C(=O)O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O)[C@H]2O)c(O)n1
cl,[Cl-]
clpn140,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC(O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
clpn160,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC(O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
clpn161,CCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC(O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCC/C=C/CCCCCC
clpn181,CCCCCC/C=C/CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC(O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCCCC/C=C/CCCCCC
cm,O=[N+]([O-])c1ccc([C@@H](O)[C@@H](CO)N=C(O)C(Cl)Cl)cc1
cmp,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1
co2,O=C=O
coa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCS
cobalt2,[Co+2]
colipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])C(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(OC4(C(=O)[O-])CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(OC6OC(CO)C(O)C(O)C6OC6OC(COC7OC(C(O)CO)C(O)C(O)C7O)C(O)C(O)C6O)C5O)C4O)C3O)C(C(O)CO)O2)O[C@@H](OC[C@H]2OC(OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
cpe160,CCCCCCC1CC1CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCC1CC1CCCCCC
cpe180,CCCCCCC1CC1CCCCCCCCCC(=O)N(CCOP(=O)([O-])OCC(O)CO)C(=O)CCCCCCCCCC1CC1CCCCCC
cpg160,CCCCCCC1CC1CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)CO)OC(=O)CCCCCCCC1CC1CCCCCC
cpg180,CCCCCCC1CC1CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)CO)OC(=O)CCCCCCCCCC1CC1CCCCCC
cpgn,CC(O)=NC(CCCN([O-])C(=O)/C=C(\C)CCO)C(=O)OCC/C(C)=C\C(=O)N([O-])CCCC1N=C(O)C(CCCN([O-])C(=O)/C=C(/C)CCO)N=C1O.[Fe+3]
cpgn_un,CC(=CC(=O)N(O)CCCC1N=C(O)C(CCCN(O)C(=O)C=C(C)CCOC(=O)CC(CCN(O)C(=O)C=C(C)CCO)N=C(C)O)N=C1O)CCO
cph4,N=c1nc([O-])c2c([nH]1)NCC(C(=O)O)N2
cpmp,N=c1nc(O)c2c([nH]1)N[C@@H]1O[C@@H]3COP(=O)(O)O[C@@H]3C(O)(O)[C@@H]1N2
cpppg3,Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2
crnDcoa,CC(C)(COP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])O)[C@@H](O)C([O-])=NCCC([O-])=NCCSC(=O)C[C@H](O)C[N+](C)(C)C
crn__D,C[N+](C)(C)C[C@@H](O)CC(=O)[O-]
crn,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
crncoa,CC(C)(COP(=O)([O-])OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])O)C(O)C([O-])=NCCC([O-])=NCCSC(=O)CC(O)C[N+](C)(C)C
cs1,[Cs+]
csn,N=c1ccnc(O)[nH]1
ctbt,C[N+](C)(C)C/C=C/C(=O)[O-]
ctbtcoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)/C=C/C[N+](C)(C)C
ctp,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1
cu2,[Cu+2]
cu,[Cu+]
cur,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
cxsam,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[S+](CC[C@H](N)C(=O)[O-])CC(=O)O)[C@@H](O)[C@H]1O
cyan,C#N
cynt,N#C[O-]
cys__D,N[C@H](CS)C(=O)O
cys__L,N[C@@H](CS)C(=O)O
cysi__L,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
cyst__L,N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O
cytd,N=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(O)n1
dad_2,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
dad_5,C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
dadp,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1
damp,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1
dann,CC(N)C(N)CCCCCC(=O)O
datp,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
db4p,CC(=O)C(O)COP(=O)(O)O
dc2coa,CCCCCCC/C=C/C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
dca,CCCCCCCCCC(=O)[O-]
dcacoa,CCCCCCCCCC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
dcamp,O=C(O)CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O
dcdp,N=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(O)n1
dcmp,N=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(O)n1
dctp,N=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(O)n1
dcyt,N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1
dd2coa,CCCCCCCCC/C=C/C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
ddca,CCCCCCCCCCCC(=O)[O-]
ddcacoa,CCCCCCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
ddcap,CCCCCCCCCCCC(=O)OP(=O)([O-])[O-]
dgdp,N=c1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O3)c2[nH]1
dgmp,N=c1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](COP(=O)(O)O)O3)c2[nH]1
dgslnt,N[C@@H](CCC(O)=N[C@@H](CS[Se]SC[C@H](N=C(O)CC[C@H](N)C(=O)O)C(O)=NCC(=O)O)C(O)=NCC(=O)O)C(=O)O
dgsn,N=c1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1
dgtp,N=c1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O3)c2[nH]1
dha,O=C(CO)CO
dhap,O=C(CO)COP(=O)(O)O
dhcinnm,O=C(O)C=Cc1cccc(O)c1O
dhcur,COc1cc(/C=C/C(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O
dhf,N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)=N2
