,smiles
2agpe161,CCCCCC/C=C/CCCCCCCC(=[O+])OC(CO)COP(=O)([O-])OCC[N]
2agpe180,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
2agpe181,CCCCCC/C=C/CCCCCCCCCC(=[O+])OC(CO)COP(=O)([O-])OCC[N]
2agpg120,CCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO
2agpg140,CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OC[C@@H](O)CO
2agpg141,CCCCCC/C=C/CCCCCC(=O)OC(CO)COP(=O)([O-])OCC(O)CO
2agpg160,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OC[C@@H](O)CO
2agpg161,CCCCCC/C=C/CCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC(O)CO
2agpg180,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC(O)CO
2agpg181,CCCCCC/C=C/CCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC(O)CO
2ahbut,CC[C@](O)(C(C)=O)C(=O)O
2amsa,N[C@@H](C=O)C(=O)O
2aobut,CC(=O)[C@H](N)C(=O)O
2cpr5p,O=C(O)c1ccccc1NCC(=O)[C@H](O)[C@H](O)COP(=O)(O)O
2dda7p,O=C(O)C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
2ddara,O=C(O)C(=O)C[C@H](O)CO
2ddecg3p,CCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)O
2ddg6p,O=C(O)C(=O)C[C@H](O)[C@H](O)COP(=O)(O)O
2ddglcn,O=C(O)C(=O)C[C@H](O)[C@H](O)CO
2dglc,OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O
2dh3dgal6p,O=C(O)C(=O)C[C@@H](O)[C@H](O)COP(=O)(O)O
2dh3dgal,O=C(O)C(=O)C[C@@H](O)[C@H](O)CO
2dhguln,O=C([O-])C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO
2dhp,CC(C)(CO)C(=O)C(=O)O
2dmmq8,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)c2ccccc2C1=O
2dmmql8,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)c2ccccc2c1O
2doxg6p,O=P(O)(O)OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O
2dr1p,O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1
2dr5p,O=P(O)(O)OC[C@H]1OC(O)C[C@@H]1O
2h3oppan,O=CC(O)C(=O)O
2hdec9eg3p,CCCCCC/C=C\CCCCCCCC(=O)OC(CO)COP(=O)(O)O
2hdecg3p,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])[O-]
2hptcl,O=C(O)C1=C([O-])CC=CC=C1
